Cognome;Nome Completo;Ruolo;Ruoli Mantra;Quotazione Attuale;Quotazione Iniziale;Squadra;Piede;Nazionalità;Data Nascita;Foto;Media Voto;Media Fantavolo
Dumfries;Dumfries Denzel;D;E;15;11;Inter;destro;"Olanda;Aruba";18/04/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/DUMFRIES.png?v=56;6.1;6.53
Gosens;Gosens Robin;D;E;8;8;Inter;sinistro;"Germania;Olanda";05/07/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/GOSENS.png?v=56;0.0;0.0
Asllani;Asllani Kristjan;C;"M;C";11;5;Inter;destro;Albania;09/03/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ASLLANI.png?v=56;6.22;6.5
Calhanoglu;Calhanoglu Hakan;C;"M;C";30;18;Inter;destro;"Turchia;Germania";08/02/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CALHANOGLU.png?v=56;6.47;7.70
Barella;Barella Nicolò;C;C;17;20;Inter;destro;Italia;07/02/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/BARELLA.png?v=56;6.38;6.53
Fabbian;Fabbian Giovanni;C;C;19;5;Bologna;destro;Italia;14/01/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/FABBIAN.png?v=56;6.23;6.86
Frattesi;Frattesi Davide;C;C;21;17;Inter;destro;Italia;22/09/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/FRATTESI.png?v=56;6.27;7.0
Mkhitaryan;Mkhitaryan Henrikh;C;"C;T";19;13;Inter;ambidestro;Armenia;21/01/1989 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MKHITARYAN.png?v=56;6.40;6.68
Sensi;Sensi Stefano;C;"C;T";3;7;Inter;destro;Italia;05/08/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/SENSI.png?v=56;6.5;6.5
Correa;Correa Joaquin;A;A;11;11;Inter;destro;"Argentina;Italia";13/08/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CORREA.png?v=56;0.0;0.0
Esposito Se.;Esposito Sebastiano;A;Pc;3;3;Inter;destro;Italia;02/07/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Martinez L.;Martinez Lautaro;A;Pc;41;37;Inter;destro;Argentina;22/08/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MARTINEZ-L.png?v=56;6.65;8.73
Thuram;Thuram Marcus;A;Pc;31;23;Inter;destro;"Francia;Guadalupe";06/08/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/THURAM.png?v=56;6.54;7.81
Perin;Perin Mattia;P;Por;4;1;Juventus;destro;Italia;10/11/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/PERIN.png?v=56;6.0;5.67
Pinsoglio;Pinsoglio Carlo;P;Por;3;1;Juventus;sinistro;Italia;16/03/1990 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/PINSOGLIO.png?v=56;6.5;6.5
Szczesny;Szczesny Wojciech;P;Por;16;15;Juventus;destro;Polonia;18/04/1990 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/SZCZESNY.png?v=56;6.21;5.43
Bonucci;Bonucci Leonardo;D;Dc;4;4;Juventus;destro;Italia;01/05/1987 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/BONUCCI.png?v=56;0.0;0.0
Bremer;Bremer;D;Dc;14;13;Juventus;destro;Brasile;18/03/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/BREMER.png?v=56;6.24;6.36
Gatti;Gatti Federico;D;Dc;10;6;Juventus;destro;Italia;24/06/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/GATTI.png?v=56;5.97;6.11
Rugani;Rugani Daniele;D;Dc;8;3;Juventus;destro;Italia;29/07/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/RUGANI.png?v=56;6.11;6.46
De Winter;De Winter Koni;D;"Dd;Dc";5;3;Genoa;destro;Belgio;12/06/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/DE-WINTER.png?v=56;5.84;5.74
Alex Sandro;Alex Sandro Lobo;D;"Ds;Dc";4;7;Juventus;sinistro;Brasile;26/01/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ALEX-SANDRO.png?v=56;6.0;6.25
Danilo;Danilo Luiz da Silva;D;"Dd;Ds;Dc";10;18;Juventus;destro;Brasile;15/07/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/DANILO.png?v=56;6.09;6.11
Pellegrini Lu.;Pellegrini Luca;D;"Ds;E";4;4;Lazio;sinistro;Italia;07/03/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/PELLEGRINI-LU.png?v=56;5.79;5.76
Cambiaso;Cambiaso Andrea;D;"Dd;Ds;E";10;6;Juventus;sinistro;Italia;20/02/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CAMBIASO.png?v=56;6.0;6.12
De Sciglio;De Sciglio Mattia;D;"Dd;Ds;E";1;3;Juventus;destro;Italia;20/10/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/DE-SCIGLIO.png?v=56;6.0;6.0
Kostic;Kostic Filip;C;"E;W";8;15;Juventus;sinistro;Serbia;01/11/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/KOSTIC.png?v=56;5.91;5.98
Weah;Weah Timothy;C;"E;W";5;10;Juventus;destro;"Stati Uniti;Francia";22/02/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/WEAH.png?v=56;5.92;5.86
Locatelli;Locatelli Manuel;C;"M;C";9;13;Juventus;destro;Italia;08/01/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/LOCATELLI.png?v=56;5.83;5.94
Nicolussi Caviglia;Nicolussi Caviglia Hans;C;"M;C";2;2;Juventus;destro;Italia;18/06/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;5.92;6.0
Rovella;Rovella Nicolò;C;"M;C";6;6;Lazio;destro;Italia;04/12/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ROVELLA.png?v=56;6.12;6.07
Mckennie;McKennie Weston;C;C;13;7;Juventus;destro;Stati Uniti;28/08/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MCKENNIE.png?v=56;6.20;6.32
Rabiot;Rabiot Adrien;C;C;15;22;Juventus;sinistro;Francia;03/04/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/RABIOT.png?v=56;6.08;6.5
Fagioli;Fagioli Nicolò;C;"C;T";4;13;Juventus;destro;Italia;12/02/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/FAGIOLI.png?v=56;6.06;6.25
Miretti;Miretti Fabio;C;"C;T";4;5;Juventus;destro;Italia;03/08/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MIRETTI.png?v=56;5.78;5.9
Pogba;Pogba Paul;C;"C;T";1;12;Juventus;ambidestro;"Francia;Guinea";15/03/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/POGBA.png?v=56;6.0;6.0
Iling Junior;Iling Junior Samuel;C;W;9;3;Juventus;sinistro;Inghilterra;04/10/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ILING-JUNIOR.png?v=56;5.98;6.2
Soule';Soulè Matias;A;"W;A";24;5;Frosinone;sinistro;"Argentina;Italia";15/04/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/SOULE.png?v=56;6.29;7.07
Chiesa;Chiesa Federico;A;A;25;17;Juventus;destro;Italia;25/10/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CHIESA.png?v=56;6.28;7.17
Kean;Kean Moise;A;Pc;4;10;Juventus;destro;"Italia;Costa d''Avorio";28/02/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/KEAN.png?v=56;6.0;5.93
Milik;Milik Arkadiusz;A;Pc;12;17;Juventus;sinistro;Polonia;28/02/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MILIK.png?v=56;6.0;6.46
Vlahovic;Vlahovic Dusan;A;Pc;27;28;Juventus;sinistro;Serbia;28/01/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/VLAHOVIC.png?v=56;6.18;7.42
Adamonis;Adamonis Marius;P;Por;1;1;Lazio;destro;Lituania;13/05/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ADAMONIS.png?v=56;0.0;0.0
Luis Maximiano;Luis Maximiano;P;Por;1;1;Lazio;ambidestro;Portogallo;05/01/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/LUIS-MAXIMIANO.png?v=56;0.0;0.0
Provedel;Provedel Ivan;P;Por;12;16;Lazio;destro;Italia;17/03/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/PROVEDEL.png?v=56;6.23;5.13
