Cognome;Nome Completo;Ruolo;Ruoli Mantra;Quotazione attuale;Quotazione iniziale;Squadra;Piede;Nazionalità;Data Nascita;Foto;Media Voto;Media Fantavoto
Kalimuendo;Kalimuendo Arnaud;A;Pc;18;8;Rennes;destro;"Francia;Repubblica Democratica del Congo";20/01/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Hradecky;Hradecky Lukas;P;Por;16;6;Bayer Leverkusen;destro;"Finlandia;Slovacchia";24/11/1989 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Lomb;Lomb Niklas;P;Por;1;1;Bayer Leverkusen;destro;Germania;28/07/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Pentz;Pentz Patrick;P;Por;1;1;Bayer Leverkusen;sinistro;Austria;02/01/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Tah;Tah Jonathan;D;Dc;14;5;Bayer Leverkusen;destro;"Germania;Costa d''Avorio";11/02/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Tapsoba;Tapsoba Edmond;D;Dc;6;8;Bayer Leverkusen;destro;Burkina Faso;02/02/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Kossounou;Kossounou Odilon;D;"Dd;Dc";8;4;Bayer Leverkusen;destro;Costa d''Avorio;04/01/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Hincapie';Hincapiè Piero;D;"Ds;Dc";10;7;Bayer Leverkusen;sinistro;Ecuador;09/01/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Arthur S.;Arthur Soares;D;"Dd;E";6;9;Bayer Leverkusen;destro;Brasile;17/03/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Fosu-Mensah;Fosu-Mensah Timothy;D;"Dd;E";1;1;Bayer Leverkusen;destro;"Olanda;Ghana";02/01/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
